iteration,epoch,train_loss,val_loss,lr,timestamp
1,1,1.9571,2.0845,1.000000e-03,2026-09-25T10:00:02
2,1,1.9147,2.1100,1.000000e-03,2026-09-25T10:00:04
3,1,1.9684,2.1684,1.000000e-03,2026-09-25T10:00:06
4,1,1.9866,2.0925,1.000000e-03,2026-09-25T10:00:08
5,1,1.9318,2.0851,1.000000e-03,2026-09-25T10:00:10
6,1,1.9081,2.1464,1.000000e-03,2026-09-25T10:00:12
7,1,1.8858,2.1069,1.000000e-03,2026-09-25T10:00:14
8,1,1.9583,2.1515,1.000000e-03,2026-09-25T10:00:16
9,1,1.9083,2.1572,1.000000e-03,2026-09-25T10:00:18
10,1,1.9769,2.0821,1.000000e-03,2026-09-25T10:00:20
11,1,1.9765,2.1712,1.000000e-03,2026-09-25T10:00:22
12,1,1.9223,2.1013,1.000000e-03,2026-09-25T10:00:24
13,1,1.9941,2.1246,1.000000e-03,2026-09-25T10:00:26
14,1,1.8935,2.0938,1.000000e-03,2026-09-25T10:00:28
15,1,1.9814,2.1590,1.000000e-03,2026-09-25T10:00:30
16,1,1.9767,2.1753,1.000000e-03,2026-09-25T10:00:32
17,1,1.9451,2.2066,1.000000e-03,2026-09-25T10:00:34
18,1,1.9267,2.1524,1.000000e-03,2026-09-25T10:00:36
19,1,1.9793,2.1609,1.000000e-03,2026-09-25T10:00:38
20,1,1.9830,2.1556,1.000000e-03,2026-09-25T10:00:40
21,1,1.9647,2.0872,1.000000e-03,2026-09-25T10:00:42
22,1,1.9092,2.1186,1.000000e-03,2026-09-25T10:00:44
23,1,1.8920,2.1113,1.000000e-03,2026-09-25T10:00:46
24,1,1.8944,2.1171,1.000000e-03,2026-09-25T10:00:48
25,1,1.9567,2.1283,1.000000e-03,2026-09-25T10:00:50
26,1,1.9258,2.1083,1.000000e-03,2026-09-25T10:00:52
27,1,1.9138,2.2019,1.000000e-03,2026-09-25T10:00:54
28,1,1.9581,2.1597,1.000000e-03,2026-09-25T10:00:56
29,1,1.9026,2.1752,1.000000e-03,2026-09-25T10:00:58
30,1,1.9017,2.1302,1.000000e-03,2026-09-25T10:01:00
31,1,1.9979,2.1637,1.000000e-03,2026-09-25T10:01:02
32,1,1.9475,2.1694,1.000000e-03,2026-09-25T10:01:04
33,1,1.9808,2.1812,1.000000e-03,2026-09-25T10:01:06
34,1,1.9093,2.0854,1.000000e-03,2026-09-25T10:01:08
35,1,1.9194,2.1158,1.000000e-03,2026-09-25T10:01:10
36,1,1.9072,2.2027,1.000000e-03,2026-09-25T10:01:12
37,1,1.9847,2.1218,1.000000e-03,2026-09-25T10:01:14
38,1,1.9590,2.1322,1.000000e-03,2026-09-25T10:01:16
39,1,1.9892,2.1404,1.000000e-03,2026-09-25T10:01:18
40,1,1.9135,2.1131,1.000000e-03,2026-09-25T10:01:20
41,1,1.9480,2.1151,1.000000e-03,2026-09-25T10:01:22
42,1,1.9507,2.1969,1.000000e-03,2026-09-25T10:01:24
